Specialized_sys,Option,Preset,Video,Encoding_time
slow,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=slow,measures/in/original_01.mkv,2.7052
slow,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=slow,measures/in/original_04.mkv,1.3148
slow,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=slow,measures/in/original_07.mkv,1.8963
slow,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=slow,measures/in/original_03.mkv,4.8972
slow,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=slow,measures/in/original_05.mkv,3.5233
slow,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=slow,measures/in/original_02.mkv,1.6623
slow,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=slow,measures/in/original_06.mkv,0.4561
slow,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=slow,measures/in/original_08.mkv,5.0725
faster,"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",--preset=faster,measures/in/original_01.mkv,1.3770
faster,"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",--preset=faster,measures/in/original_04.mkv,1.0534
faster,"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",--preset=faster,measures/in/original_07.mkv,1.1769
faster,"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",--preset=faster,measures/in/original_03.mkv,1.5764
faster,"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",--preset=faster,measures/in/original_05.mkv,1.4217
faster,"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",--preset=faster,measures/in/original_02.mkv,0.9937
faster,"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",--preset=faster,measures/in/original_06.mkv,0.3577
faster,"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",--preset=faster,measures/in/original_08.mkv,1.4735
superfast,"['CABAC_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES', 'MBTREE_YES']",--preset=superfast,measures/in/original_01.mkv,0.8072
superfast,"['CABAC_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES', 'MBTREE_YES']",--preset=superfast,measures/in/original_04.mkv,0.8222
superfast,"['CABAC_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES', 'MBTREE_YES']",--preset=superfast,measures/in/original_07.mkv,0.9366
superfast,"['CABAC_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES', 'MBTREE_YES']",--preset=superfast,measures/in/original_03.mkv,0.7865
superfast,"['CABAC_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES', 'MBTREE_YES']",--preset=superfast,measures/in/original_05.mkv,0.8128
superfast,"['CABAC_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES', 'MBTREE_YES']",--preset=superfast,measures/in/original_02.mkv,0.6374
superfast,"['CABAC_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES', 'MBTREE_YES']",--preset=superfast,measures/in/original_06.mkv,0.2123
superfast,"['CABAC_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES', 'MBTREE_YES']",--preset=superfast,measures/in/original_08.mkv,1.0792
placebo,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=placebo,measures/in/original_01.mkv,18.5879
placebo,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=placebo,measures/in/original_04.mkv,19.6914
placebo,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=placebo,measures/in/original_07.mkv,35.1275
placebo,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=placebo,measures/in/original_03.mkv,61.1524
placebo,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=placebo,measures/in/original_05.mkv,39.7040
placebo,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=placebo,measures/in/original_02.mkv,18.7870
placebo,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=placebo,measures/in/original_06.mkv,3.0311
placebo,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=placebo,measures/in/original_08.mkv,73.6934
slower,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",--preset=slower,measures/in/original_01.mkv,3.4284
